idx,time,elapsed_sec,roll_drift,pitch_drift,yaw_drift,motor_id1_drift,motor_id2_drift,motor_id3_drift,note
0,11:39:00,0.0,0.0000,0.0000,0.0000,+0.000,+0.000,+0.000,기준 설정
1,11:39:30,30.1,-0.0820,-0.0060,0.0000,+0.000,+0.000,+0.000,
2,11:40:00,60.1,-0.1480,0.0000,0.0000,+0.000,+0.000,+0.000,
3,11:40:30,90.1,-0.2140,0.0110,0.0000,+0.000,+0.000,+0.000,
4,11:41:00,120.1,-0.2470,0.0110,0.0000,+0.000,+0.000,+0.000,
5,11:41:30,150.1,-0.2800,0.0050,0.0000,+0.000,+0.000,+0.000,
6,11:42:00,180.1,-0.3080,0.0050,0.0000,+0.000,+0.000,+0.000,
7,11:42:30,210.1,-0.3410,0.0110,0.0000,+0.000,+0.000,+0.000,
8,11:43:00,240.1,-0.3730,0.0110,0.0000,+0.000,+0.000,+0.000,
9,11:43:30,270.1,-0.3950,0.0110,0.0000,+0.000,+0.000,+0.000,
10,11:44:00,300.1,-0.4060,0.0050,0.0000,+0.000,+0.000,+0.000,★ 5분 체크포인트
11,11:44:30,330.1,-0.4280,0.0050,0.0000,+0.000,+0.000,+0.000,
12,11:45:00,360.1,-0.4610,0.0110,0.0000,+0.000,+0.000,+0.000,
13,11:45:30,390.1,-0.4780,0.0110,0.0000,+0.000,+0.000,+0.000,
14,11:46:00,420.1,-0.4780,0.0110,0.0000,+0.000,+0.000,+0.000,
15,11:46:30,450.1,-0.5000,0.0000,0.0000,+0.000,+0.000,+0.000,
16,11:47:00,480.1,-0.5270,0.0440,0.0000,+0.000,+0.000,+0.000,
17,11:47:30,510.1,-0.5330,0.0600,0.0000,+0.000,+0.000,+0.000,
18,11:48:00,540.1,-0.5600,0.0880,0.0000,+0.000,+0.000,+0.000,
19,11:48:30,570.1,-0.6150,0.0600,0.0000,+0.000,+0.000,+0.000,
20,11:49:00,600.1,-0.6210,0.1090,0.0000,+0.000,+0.000,+0.000,★ 10분 체크포인트
21,11:49:30,630.1,-0.6210,0.0490,0.0000,+0.000,+0.000,+0.000,
22,11:50:00,660.1,-0.6320,0.0550,0.0000,+0.000,+0.000,+0.000,
23,11:50:30,690.1,-0.6590,0.1090,0.0000,+0.000,+0.000,+0.000,
24,11:51:00,720.1,-0.6700,0.1150,0.0000,+0.000,+0.000,+0.000,
25,11:51:30,750.1,-0.6760,0.0820,0.0000,+0.000,+0.000,+0.000,
26,11:52:00,780.1,-0.6810,0.0710,0.0000,+0.000,+0.000,+0.000,
27,11:52:30,810.1,-0.6920,0.0770,0.0000,+0.000,+0.000,+0.000,
28,11:53:00,840.1,-0.7030,0.0770,0.0000,+0.000,+0.000,+0.000,
29,11:53:30,870.1,-0.7250,0.0770,0.0000,+0.000,+0.000,+0.000,
