# csv_version=1
# scenario="S1_track_j1"
# t0_unix=1781245471.510392
# t0_iso="2026-06-12T15:24:31+0900"
# motor_ids=[1, 2, 3, 4, 5, 6, 7]
# leader_sign={"1": -1.0, "2": 1.0, "3": -1.0, "4": 1.0, "5": -1.0, "6": 1.0, "7": -1.0}
# leader_scale={"1": 1.0, "2": 1.0, "3": 1.0, "4": 1.0, "5": 1.0, "6": 1.0, "7": 1.0}
# relay_mode="calib_ik"
# relay_active=true
# leader_connected=false
# imu_connected=true
# safe_profile_velocity=150
# max_vel_deg_s=180.0
# joint_limit_deg={"1": 120, "2": 120, "3": 90, "4": 140, "5": 90, "6": 90, "7": 90}
# leader_zero_offset_deg={"5": 90.0}
t,ev,leader_age,imu_age,read_fail,L1_deg,C1_deg,G1_deg,P1_deg,Lraw1,Praw1,L2_deg,C2_deg,G2_deg,P2_deg,Lraw2,Praw2,L3_deg,C3_deg,G3_deg,P3_deg,Lraw3,Praw3,L4_deg,C4_deg,G4_deg,P4_deg,Lraw4,Praw4,L5_deg,C5_deg,G5_deg,P5_deg,Lraw5,Praw5,L6_deg,C6_deg,G6_deg,P6_deg,Lraw6,Praw6,L7_deg,C7_deg,G7_deg,P7_deg,Lraw7,Praw7
0.054,,,0.017,0,,-0.124,0.000,0.000,,2048,,-4.217,-4.396,-4.396,,1998,,-8.155,-8.352,-8.527,,1951,,-3.107,-3.165,-2.901,,2025,,4.844,4.835,4.923,,2098,,0.039,0.000,0.264,,2046,,1.617,1.582,2.022,,2072
0.100,,,0.014,0,,-0.095,0.000,0.000,,2048,,-4.199,-4.396,-4.308,,1999,,-8.166,-8.352,-8.527,,1951,,-3.097,-3.165,-2.901,,2025,,4.851,4.835,4.923,,2098,,0.030,0.000,0.264,,2046,,1.609,1.582,1.934,,2071
0.153,,,0.013,0,,-0.076,0.000,0.000,,2048,,-4.197,-4.396,-4.308,,1999,,-8.168,-8.352,-8.527,,1951,,-3.090,-3.165,-2.901,,2025,,4.872,4.835,4.923,,2098,,0.027,0.000,0.264,,2046,,1.610,1.582,1.758,,2069
0.202,,,0.027,0,,-0.062,0.000,0.000,,2048,,-4.196,-4.396,-4.396,,1998,,-8.172,-8.352,-8.527,,1951,,-3.076,-3.165,-2.901,,2025,,4.883,4.835,4.923,,2098,,0.029,0.000,0.264,,2046,,1.614,1.582,1.670,,2068
0.253,,,0.000,0,,-0.055,0.000,0.000,,2048,,-4.188,-4.396,-4.396,,1998,,-8.183,-8.352,-8.527,,1951,,-3.050,-3.165,-2.901,,2025,,4.905,4.835,4.923,,2098,,0.039,0.000,0.264,,2046,,1.616,1.582,1.670,,2068
0.301,,,0.009,0,,-0.051,0.000,0.000,,2048,,-4.153,-4.132,-4.308,,1999,,-8.183,-8.352,-8.527,,1951,,-3.018,-3.165,-2.901,,2025,,4.919,4.835,4.923,,2098,,0.043,0.000,0.264,,2046,,1.607,1.582,1.670,,2068
0.341,,,0.005,0,,-0.037,0.000,0.000,,2048,,-4.107,-4.132,-4.308,,1999,,-8.150,-8.352,-8.527,,1951,,-3.000,-3.165,-2.901,,2025,,4.917,4.835,4.923,,2098,,0.036,0.000,0.264,,2046,,1.588,1.582,1.670,,2068
0.390,,,0.000,0,,0.002,0.000,0.000,,2048,,-3.991,-4.132,-4.308,,1999,,-8.033,-8.088,-8.527,,1951,,-2.979,-3.165,-2.901,,2025,,4.915,4.835,4.923,,2098,,0.001,0.000,0.264,,2046,,1.539,1.582,1.670,,2068
0.441,,,0.007,0,,0.071,0.000,0.000,,2048,,-3.869,-3.868,-4.132,,2001,,-7.843,-7.824,-8.527,,1951,,-3.008,-3.165,-2.901,,2025,,4.893,4.835,4.923,,2098,,-0.052,0.000,0.264,,2046,,1.485,0.000,1.670,,2068
0.491,,,0.046,0,,0.107,0.000,0.000,,2048,,-3.827,-3.868,-4.132,,2001,,-7.742,-7.824,-8.527,,1951,,-3.022,-3.165,-2.901,,2025,,4.876,4.835,4.923,,2098,,-0.078,0.000,0.264,,2046,,1.482,0.000,1.582,,2067
0.541,,,0.014,0,,0.213,0.000,0.000,,2048,,-3.868,-3.868,-4.044,,2002,,-7.412,-7.473,-8.440,,1952,,-2.948,-3.165,-2.901,,2025,,5.173,5.099,4.923,,2098,,-0.138,0.000,0.264,,2046,,1.625,1.582,0.967,,2060
0.591,,,0.012,0,,0.211,0.000,0.000,,2048,,-4.015,-3.868,-3.868,,2004,,-7.380,-7.473,-8.264,,1954,,-2.953,-3.165,-2.901,,2025,,5.460,5.451,5.011,,2099,,-0.110,0.000,0.264,,2046,,1.738,1.582,0.967,,2060
0.640,,,0.008,0,,0.128,0.000,0.000,,2048,,-4.915,-4.923,-3.868,,2004,,-7.372,-7.473,-8.088,,1956,,-3.083,-3.165,-2.901,,2025,,5.824,5.714,5.011,,2099,,-0.036,0.000,0.264,,2046,,2.072,1.934,1.319,,2064
0.690,,,0.006,0,,-0.034,0.000,0.000,,2048,,-6.386,-6.418,-3.868,,2004,,-7.182,-7.209,-8.000,,1957,,-3.285,-3.165,-2.901,,2025,,6.093,5.978,5.099,,2100,,0.042,0.000,0.264,,2046,,2.467,2.462,1.670,,2068
0.740,,,0.002,0,,-0.336,0.000,0.000,,2048,,-8.757,-8.791,-4.044,,2002,,-6.564,-6.593,-7.824,,1959,,-3.657,-3.692,-2.901,,2025,,6.282,6.242,5.187,,2101,,0.128,0.000,0.264,,2046,,3.172,3.165,2.110,,2073
0.790,,,0.009,0,,-0.663,0.000,0.000,,2048,,-11.051,-11.077,-4.659,,1995,,-5.540,-5.538,-7.648,,1961,,-4.061,-4.044,-2.901,,2025,,6.798,6.769,5.538,,2105,,0.248,0.000,0.352,,2047,,4.140,4.132,2.549,,2078
0.840,,,0.008,0,,-0.964,-0.791,0.000,,2048,,-13.910,-13.890,-5.978,,1980,,-4.260,-4.220,-7.297,,1965,,-4.513,-4.308,-3.077,,2023,,6.930,6.769,5.978,,2110,,0.362,0.000,0.440,,2048,,5.215,5.187,3.165,,2085
0.890,,,0.005,0,,-1.118,-1.055,-0.176,,2046,,-16.432,-16.440,-7.912,,1958,,-2.877,-2.901,-6.681,,1972,,-4.775,-4.659,-3.516,,2018,,6.661,6.769,6.066,,2111,,0.474,0.000,0.440,,2048,,6.086,6.066,3.956,,2094
0.940,,,0.004,0,,-1.250,-1.055,-0.264,,2045,,-19.261,-19.253,-10.286,,1931,,-0.935,0.000,-5.714,,1983,,-5.272,-5.275,-3.868,,2014,,6.162,6.154,6.330,,2114,,0.514,0.000,0.440,,2048,,6.825,6.857,4.923,,2105
