# csv_version=1
# scenario="HM_human"
# t0_unix=1781248322.05219
# t0_iso="2026-06-12T16:12:02+0900"
# motor_ids=[1, 2, 3, 4, 5, 6, 7]
# leader_sign={"1": -1.0, "2": 1.0, "3": -1.0, "4": 1.0, "5": -1.0, "6": 1.0, "7": -1.0}
# leader_scale={"1": 1.0, "2": 1.0, "3": 1.0, "4": 1.0, "5": 1.0, "6": 1.0, "7": 1.0}
# relay_mode="calib_ik"
# relay_active=false
# leader_connected=false
# imu_connected=true
# safe_profile_velocity=150
# max_vel_deg_s=180.0
# joint_limit_deg={"1": 120, "2": 120, "3": 90, "4": 140, "5": 90, "6": 90, "7": 90}
# leader_zero_offset_deg={"5": 90.0}
t,ev,leader_age,imu_age,read_fail,L1_deg,C1_deg,G1_deg,P1_deg,Lraw1,Praw1,L2_deg,C2_deg,G2_deg,P2_deg,Lraw2,Praw2,L3_deg,C3_deg,G3_deg,P3_deg,Lraw3,Praw3,L4_deg,C4_deg,G4_deg,P4_deg,Lraw4,Praw4,L5_deg,C5_deg,G5_deg,P5_deg,Lraw5,Praw5,L6_deg,C6_deg,G6_deg,P6_deg,Lraw6,Praw6,L7_deg,C7_deg,G7_deg,P7_deg,Lraw7,Praw7
0.053,,,0.028,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.100,,,0.014,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.149,,,0.007,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.198,,,0.004,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.249,,,0.014,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.299,,,0.013,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.349,,,0.010,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.399,,,0.006,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.449,,,0.000,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.498,,,0.015,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.548,,,0.012,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.598,,,0.008,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.649,,,0.004,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.699,,,0.015,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.749,,,0.013,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.799,,,0.005,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.849,,,0.005,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.899,,,0.002,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.949,,,0.016,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
0.999,,,0.011,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.049,,,0.008,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.098,,,0.003,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.148,,,0.018,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.199,,,0.014,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.248,,,0.010,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.298,,,0.002,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.349,,,0.001,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.398,,,0.013,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.448,,,0.011,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.498,,,0.003,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.548,,,0.003,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.598,,,0.017,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.649,,,0.013,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.698,,,0.005,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.748,,,0.005,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.799,,,0.002,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.848,,,0.016,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.898,,,0.011,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.948,,,0.007,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
1.998,,,0.001,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.048,,,0.018,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.099,,,0.005,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.149,,,0.002,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.198,,,0.016,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.248,,,0.012,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.300,,,0.008,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.349,,,0.003,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.399,,,0.012,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.448,,,0.013,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.499,,,0.010,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.549,,,0.002,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.598,,,0.014,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.648,,,0.015,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.698,,,0.011,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.748,,,0.007,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.799,,,0.020,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.849,,,0.000,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.898,,,0.014,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.948,,,0.009,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
2.999,,,0.001,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
3.049,,,0.002,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
3.099,,,0.016,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
3.149,,,0.012,0,,,0.000,0.000,,2034,,,0.000,0.000,,1956,,,0.000,0.000,,2004,,,0.000,0.000,,1979,,,0.000,0.000,,2012,,,0.000,0.000,,2037,,,0.000,0.000,,2130
