# csv_version=1
# scenario="HM_human"
# t0_unix=1781485995.5407755
# t0_iso="2026-06-15T10:13:15+0900"
# motor_ids=[1, 2, 3, 4, 5, 6, 7]
# leader_sign={"1": -1.0, "2": 1.0, "3": -1.0, "4": 1.0, "5": -1.0, "6": 1.0, "7": -1.0}
# leader_scale={"1": 1.0, "2": 1.0, "3": 1.0, "4": 1.0, "5": 1.0, "6": 1.0, "7": 1.0}
# relay_mode="calib_ik"
# relay_active=true
# leader_connected=false
# imu_connected=true
# safe_profile_velocity=150
# max_vel_deg_s=180.0
# joint_limit_deg={"1": 120, "2": 120, "3": 90, "4": 140, "5": 90, "6": 90, "7": 90}
# leader_zero_offset_deg={"5": 90.0}
t,ev,leader_age,imu_age,read_fail,L1_deg,C1_deg,G1_deg,P1_deg,Lraw1,Praw1,L2_deg,C2_deg,G2_deg,P2_deg,Lraw2,Praw2,L3_deg,C3_deg,G3_deg,P3_deg,Lraw3,Praw3,L4_deg,C4_deg,G4_deg,P4_deg,Lraw4,Praw4,L5_deg,C5_deg,G5_deg,P5_deg,Lraw5,Praw5,L6_deg,C6_deg,G6_deg,P6_deg,Lraw6,Praw6,L7_deg,C7_deg,G7_deg,P7_deg,Lraw7,Praw7
0.057,,,0.009,0,,-0.718,0.000,0.088,,2035,,-0.967,-0.967,-0.967,,2037,,0.450,0.000,0.000,,2069,,-1.733,-1.846,-1.407,,2019,,0.429,0.000,0.088,,2029,,-0.968,-0.791,-0.352,,2036,,-1.509,-1.495,-1.231,,2039
0.116,,,0.021,0,,-0.729,0.000,0.088,,2035,,-0.970,-0.967,-0.967,,2037,,0.438,0.000,0.000,,2069,,-1.730,-1.846,-1.407,,2019,,0.423,0.000,0.000,,2028,,-0.956,-0.791,-0.352,,2036,,-1.496,0.000,-1.231,,2039
0.167,,,0.018,0,,-0.737,0.000,0.088,,2035,,-0.976,-0.967,-0.967,,2037,,0.434,0.000,0.000,,2069,,-1.736,-1.846,-1.407,,2019,,0.408,0.000,0.088,,2029,,-0.955,-0.791,-0.440,,2035,,-1.493,0.000,-0.967,,2042
0.217,,,0.014,0,,-0.740,0.000,0.088,,2035,,-0.979,-0.967,-0.967,,2037,,0.431,0.000,0.000,,2069,,-1.737,-1.846,-1.407,,2019,,0.390,0.000,0.088,,2029,,-0.952,-0.791,-0.352,,2036,,-1.489,0.000,-0.440,,2048
0.259,,,0.001,0,,-0.740,0.000,0.088,,2035,,-0.981,-0.967,-0.967,,2037,,0.430,0.000,0.000,,2069,,-1.740,-1.846,-1.407,,2019,,0.379,0.000,0.088,,2029,,-0.950,-0.791,-0.352,,2036,,-1.487,0.000,-0.176,,2051
0.309,,,0.015,0,,-0.742,0.000,0.088,,2035,,-0.988,-0.967,-0.967,,2037,,0.425,0.000,0.000,,2069,,-1.744,-1.846,-1.407,,2019,,0.374,0.000,0.088,,2029,,-0.944,-0.791,-0.352,,2036,,-1.479,0.000,0.000,,2053
0.367,,,0.018,0,,-0.743,0.000,0.088,,2035,,-0.993,-0.967,-0.967,,2037,,0.425,0.000,0.000,,2069,,-1.748,-1.846,-1.407,,2019,,0.367,0.000,0.088,,2029,,-0.939,-0.791,-0.352,,2036,,-1.475,0.000,0.088,,2054
0.408,,,0.005,0,,-0.742,0.000,0.088,,2035,,-0.994,-0.967,-0.967,,2037,,0.424,0.000,0.000,,2069,,-1.749,-1.846,-1.407,,2019,,0.363,0.000,0.088,,2029,,-0.939,-0.791,-0.440,,2035,,-1.473,0.000,0.088,,2054
0.459,,,0.000,0,,-0.743,0.000,0.088,,2035,,-1.002,-0.967,-0.967,,2037,,0.421,0.000,0.000,,2069,,-1.754,-1.846,-1.407,,2019,,0.354,0.000,0.088,,2029,,-0.938,-0.791,-0.440,,2035,,-1.470,0.000,0.088,,2054
0.509,,,0.015,0,,-0.741,0.000,0.088,,2035,,-1.007,-0.967,-0.967,,2037,,0.418,0.000,0.000,,2069,,-1.754,-1.846,-1.407,,2019,,0.342,0.000,0.088,,2029,,-0.935,-0.791,-0.352,,2036,,-1.471,0.000,0.088,,2054
0.567,,,0.019,0,,-0.739,0.000,0.088,,2035,,-1.014,-0.967,-0.967,,2037,,0.418,0.000,0.000,,2069,,-1.759,-1.846,-1.407,,2019,,0.331,0.000,0.088,,2029,,-0.935,-0.791,-0.440,,2035,,-1.475,0.000,0.088,,2054
0.616,,,0.013,0,,-0.738,0.000,0.088,,2035,,-1.016,-0.967,-0.967,,2037,,0.422,0.000,0.000,,2069,,-1.760,-1.846,-1.407,,2019,,0.318,0.000,0.088,,2029,,-0.937,-0.791,-0.352,,2036,,-1.478,0.000,0.088,,2054
0.665,,,0.000,0,,-0.735,0.000,0.088,,2035,,-1.018,-0.967,-0.967,,2037,,0.427,0.000,0.000,,2069,,-1.763,-1.846,-1.407,,2019,,0.307,0.000,0.088,,2029,,-0.939,-0.791,-0.352,,2036,,-1.481,0.000,0.088,,2054
0.708,,,0.013,0,,-0.734,0.000,0.088,,2035,,-1.018,-0.967,-0.967,,2037,,0.428,0.000,0.000,,2069,,-1.764,-1.846,-1.407,,2019,,0.308,0.000,0.088,,2029,,-0.941,-0.791,-0.352,,2036,,-1.481,0.000,0.088,,2054
0.758,,,0.000,0,,-0.735,0.000,0.088,,2035,,-1.022,-0.967,-0.967,,2037,,0.431,0.000,0.000,,2069,,-1.767,-1.846,-1.407,,2019,,0.312,0.000,0.000,,2028,,-0.945,-0.791,-0.352,,2036,,-1.481,0.000,0.088,,2054
0.809,,,0.005,0,,-0.737,0.000,0.088,,2035,,-1.023,-0.967,-0.967,,2037,,0.424,0.000,0.000,,2069,,-1.766,-1.846,-1.407,,2019,,0.323,0.000,0.088,,2029,,-0.948,-0.791,-0.352,,2036,,-1.479,0.000,0.088,,2054
0.859,,,0.000,0,,-0.740,0.000,0.088,,2035,,-1.025,-0.967,-0.967,,2037,,0.413,0.000,0.000,,2069,,-1.765,-1.846,-1.407,,2019,,0.341,0.000,0.088,,2029,,-0.951,-0.791,-0.352,,2036,,-1.479,0.000,0.088,,2054
0.908,,,0.014,0,,-0.747,0.000,0.088,,2035,,-1.032,-0.967,-0.967,,2037,,0.396,0.000,0.000,,2069,,-1.767,-1.846,-1.407,,2019,,0.370,0.000,0.088,,2029,,-0.950,-0.791,-0.352,,2036,,-1.476,0.000,0.088,,2054
0.959,,,0.003,0,,-0.752,0.000,0.088,,2035,,-1.035,-0.967,-0.967,,2037,,0.387,0.000,0.000,,2069,,-1.764,-1.846,-1.407,,2019,,0.392,0.000,0.088,,2029,,-0.951,-0.791,-0.352,,2036,,-1.474,0.000,0.088,,2054
1.008,,,0.002,0,,-0.756,0.000,0.088,,2035,,-1.038,-0.967,-0.967,,2037,,0.384,0.000,0.000,,2069,,-1.767,-1.846,-1.407,,2019,,0.408,0.000,0.088,,2029,,-0.955,-0.791,-0.352,,2036,,-1.476,0.000,0.088,,2054
1.058,,,0.000,0,,-0.758,0.000,0.088,,2035,,-1.037,-0.967,-0.967,,2037,,0.387,0.000,0.000,,2069,,-1.765,-1.846,-1.407,,2019,,0.426,0.000,0.088,,2029,,-0.959,-0.791,-0.440,,2035,,-1.480,0.000,0.088,,2054
1.108,,,0.014,0,,-0.760,0.000,0.088,,2035,,-1.036,-0.967,-0.967,,2037,,0.393,0.000,0.000,,2069,,-1.765,-1.846,-1.407,,2019,,0.441,0.000,0.088,,2029,,-0.964,-0.791,-0.352,,2036,,-1.484,0.000,0.088,,2054
1.168,,,0.000,0,,-0.760,0.000,0.088,,2035,,-1.036,-0.967,-0.967,,2037,,0.395,0.000,0.000,,2069,,-1.765,-1.846,-1.407,,2019,,0.454,0.000,0.088,,2029,,-0.969,-0.791,-0.352,,2036,,-1.485,0.000,0.088,,2054
1.217,,,0.013,0,,-0.754,0.000,0.088,,2035,,-1.035,-0.967,-0.967,,2037,,0.392,0.000,0.000,,2069,,-1.765,-1.846,-1.407,,2019,,0.464,0.000,0.000,,2028,,-0.970,-0.791,-0.440,,2035,,-1.485,0.000,0.088,,2054
1.267,,,0.024,0,,-0.747,0.000,0.088,,2035,,-1.029,-0.967,-0.967,,2037,,0.389,0.000,0.000,,2069,,-1.762,-1.846,-1.407,,2019,,0.470,0.000,0.088,,2029,,-0.973,-0.791,-0.352,,2036,,-1.487,0.000,0.088,,2054
1.308,,,0.014,0,,-0.741,0.000,0.088,,2035,,-1.025,-0.967,-0.967,,2037,,0.389,0.000,0.000,,2069,,-1.759,-1.846,-1.407,,2019,,0.475,0.000,0.088,,2029,,-0.976,-0.791,-0.352,,2036,,-1.484,0.000,0.088,,2054
1.367,,,0.016,0,,-0.733,0.000,0.088,,2035,,-1.021,-0.967,-0.967,,2037,,0.383,0.000,0.000,,2069,,-1.753,-1.846,-1.407,,2019,,0.473,0.000,0.088,,2029,,-0.980,-0.791,-0.440,,2035,,-1.486,0.000,0.088,,2054
1.409,,,0.057,0,,-0.733,0.000,0.088,,2035,,-1.021,-0.967,-0.967,,2037,,0.383,0.000,0.000,,2069,,-1.753,-1.846,-1.407,,2019,,0.473,0.000,0.088,,2029,,-0.980,-0.791,-0.352,,2036,,-1.486,0.000,0.088,,2054
1.460,,,0.000,0,,-0.726,0.000,0.088,,2035,,-1.018,-0.967,-0.967,,2037,,0.374,0.000,0.000,,2069,,-1.750,-1.846,-1.407,,2019,,0.485,0.000,0.088,,2029,,-0.983,-0.791,-0.440,,2035,,-1.487,0.000,0.088,,2054
1.508,,,0.001,0,,-0.729,0.000,0.088,,2035,,-1.020,-0.967,-0.967,,2037,,0.369,0.000,0.000,,2069,,-1.751,-1.846,-1.407,,2019,,0.496,0.000,0.088,,2029,,-0.987,-0.791,-0.440,,2035,,-1.488,0.000,0.088,,2054
1.565,,,0.008,0,,-0.727,0.000,0.088,,2035,,-1.017,-0.967,-0.967,,2037,,0.359,0.000,0.000,,2069,,-1.748,-1.846,-1.407,,2019,,0.510,0.000,0.088,,2029,,-0.991,-0.791,-0.352,,2036,,-1.488,0.000,0.088,,2054
1.608,,,0.012,0,,-0.727,0.000,0.088,,2035,,-1.018,-0.967,-0.967,,2037,,0.351,0.000,0.000,,2069,,-1.749,-1.846,-1.407,,2019,,0.519,0.000,0.000,,2028,,-0.992,-0.791,-0.352,,2036,,-1.486,0.000,0.088,,2054
1.662,,,0.001,0,,-0.731,0.000,0.088,,2035,,-1.027,-0.967,-0.967,,2037,,0.335,0.000,0.000,,2069,,-1.750,-1.846,-1.407,,2019,,0.544,0.000,0.088,,2029,,-0.995,-0.791,-0.352,,2036,,-1.483,0.000,0.088,,2054
