# csv_version=1
# scenario="HM_human"
# t0_unix=1781248991.7083178
# t0_iso="2026-06-12T16:23:11+0900"
# motor_ids=[1, 2, 3, 4, 5, 6, 7]
# leader_sign={"1": -1.0, "2": 1.0, "3": -1.0, "4": 1.0, "5": -1.0, "6": 1.0, "7": -1.0}
# leader_scale={"1": 1.0, "2": 1.0, "3": 1.0, "4": 1.0, "5": 1.0, "6": 1.0, "7": 1.0}
# relay_mode="calib_ik"
# relay_active=false
# leader_connected=false
# imu_connected=true
# safe_profile_velocity=150
# max_vel_deg_s=180.0
# joint_limit_deg={"1": 120, "2": 120, "3": 90, "4": 140, "5": 90, "6": 90, "7": 90}
# leader_zero_offset_deg={"5": 90.0}
t,ev,leader_age,imu_age,read_fail,L1_deg,C1_deg,G1_deg,P1_deg,Lraw1,Praw1,L2_deg,C2_deg,G2_deg,P2_deg,Lraw2,Praw2,L3_deg,C3_deg,G3_deg,P3_deg,Lraw3,Praw3,L4_deg,C4_deg,G4_deg,P4_deg,Lraw4,Praw4,L5_deg,C5_deg,G5_deg,P5_deg,Lraw5,Praw5,L6_deg,C6_deg,G6_deg,P6_deg,Lraw6,Praw6,L7_deg,C7_deg,G7_deg,P7_deg,Lraw7,Praw7
0.052,,,0.010,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.275,,2039,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.100,,,0.004,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.275,,2039,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.148,,,0.016,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.363,,2040,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.196,,,0.027,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.275,,2039,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.245,,,0.003,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.275,,2039,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.293,,,0.015,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.363,,2040,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.342,,,0.011,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.363,,2040,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.392,,,0.009,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.275,,2039,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.442,,,0.002,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.363,,2040,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
0.493,,,0.020,0,,25.347,,1.231,,2048,,7.641,,8.088,,2048,,-24.896,,3.868,,2048,,-38.856,,5.275,,2039,,-63.608,,2.989,,2046,,-17.029,,0.703,,2045,,-19.035,,-7.121,,2049
